PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
140.063	0.000271848	0.000406706	8.51608E-05	4.85996E-05	0
140.084	0.000136594	0.00021739	0	7.84481E-05	0.000256356
140.12	4.06482E-05	8.91866E-05	1.16252E-06	2.85494E-05	4.54662E-05
140.156	0.000164007	4.48737E-05	5.64117E-06	9.70324E-06	1.51497E-05
141.019	0.00001141	3.67491E-05	0.000157684	0.000104848	0.000223982
141.055	2.87454E-05	0.000171207	0.000086905	0.000220549	0.000584547
141.07	0.00120078	0.001247825	0.000596101	3.38498E-05	0
141.092	0.000561222	0.000642865	0.000215431	0.00020414	0.000371636
141.164	0.000359745	0.000117744	3.43713E-05	0.000018902	4.98326E-05
142.042	0.00009087	0.000151112	0.000138607	9.75121E-05	0.000303933
142.063	4.80533E-06	2.18944E-05	1.35239E-06	0	2.41691E-06
142.078	0.00079225	0.000661631	0.000225228	9.76759E-05	0.000233066
142.099	0.000243586	0.000178636	4.21474E-05	4.58046E-05	5.12891E-05
142.136	0.000041423	5.18811E-05	0	7.61467E-06	2.61756E-05
143.034	5.74568E-05	5.56975E-05	0.000106046	6.52552E-05	0.000325795
143.071	1.44822E-05	0.000150518	0	0	0.000168757
143.107	0.000515734	0.000371144	8.28266E-05	0.000064025	0.000157886
144.042	0.000106602	6.25225E-05	4.02098E-05	4.03473E-05	0.000370747
144.057	0.000120608	0.00043485	0	0	0
144.079	0.000146041	0.000243679	0	0	0.000258522
144.115	0.000159598	9.27313E-05	0	1.98804E-05	7.11866E-05
144.151	0.000015013	1.864E-05	1.47498E-07	0	5.6554E-06
145.05	0.000249314	0.000394755	0.000325314	0.00011658	0.000667423
145.087	0.000106912	0.000683092	0	0.000072841	0.000647058
145.102	0.00098134	0.000199412	0	0	0
145.123	0.00052991	0.000347384	4.06922E-05	6.35434E-05	0.000159504
146.037	0.00015112	0.000218894	0.000208823	7.21854E-05	0.000458925
146.058	1.81602E-05	0.000164598	0	2.02561E-05	3.78065E-06
146.073	3.87428E-06	0.000304358	0	1.04119E-05	0.000226028
146.094	6.70763E-05	9.69096E-05	0	7.78276E-06	1.77422E-05
146.131	8.75908E-05	6.94151E-05	0	6.22723E-06	3.45781E-05
147.008	0.000033941	0	1.95039E-05	4.04902E-05	0.00012676
147.045	0.000392246	0.000780178	0.000515809	0.000182904	0.000649155
147.066	0.000349208	0.000335362	0	9.23996E-05	0
147.081	4.77384E-05	0.000421277	4.20576E-05	0.000142712	0.000431223
147.117	0.00139543	0.00076134	0.00020663	6.71719E-05	0.00023635
148.016	0.000162887	2.67646E-05	0.000102378	7.22554E-05	0.000361024
148.052	0.000315607	0.000653532	0.000324258	7.79105E-05	0.000550396
148.074	6.12988E-05	7.61768E-05	1.09544E-06	0	0
148.089	5.44016E-05	0.000112063	0	0	0.000181236
148.11	0	4.34225E-06	1.81514E-05	1.29481E-06	2.15796E-06
148.125	0.000401114	0.000213199	0	1.56113E-05	7.05337E-05
149.045	0.000518883	0.001112251	0.000552885	0.000295667	0.000780078
149.097	0.000808526	0.000834423	0.000294497	0.000184703	0.000433838
150.032	0.000079539	0.000225276	0.000255288	6.88347E-05	0.000420481
150.053	0.000559922	0.000395954	0	0	0.000186217
150.068	0	0.000601338	0.000138498	6.46046E-05	0.000171682
150.105	0.000289273	0.00030619	6.65788E-05	0.000049534	0.000162129
151.003	0	0	6.22712E-06	1.83784E-05	2.97874E-05
151.04	0.000287854	0.000842976	0.000529523	3.27585E-05	0.000437811
151.061	0.000510045	0.000790146	0.000109544	0	7.13373E-05
151.076	0.000371012	0.000764119	2.92703E-05	0.000170953	0.000331925
151.112	8.09856E-05	0.000328224	5.91656E-05	7.20895E-05	0.000165743
151.149	0.000671932	0.000152967	2.11185E-05	2.30442E-05	8.10565E-05
152.047	0	0.000422654	0.000268125	2.97975E-05	0.000595088
152.063	0.000965675	0.001334955	0.000447945	0	0
152.084	0.000429846	0.000734681	0.000240198	6.96212E-05	0.000363001
152.12	8.92234E-05	0.000165417	0	9.09326E-06	0.000065199
152.156	0.000175304	7.60686E-05	8.09618E-06	9.07217E-06	0.000034591
153.019	1.33485E-05	9.10125E-05	0.000204657	0.000080132	0.000197328
153.055	0.000147171	0.000712999	0.000232624	0.00017507	0.00053082
153.07	0.000882707	0.000835468	0	0	0
153.092	0.000381459	0.000678547	0.000226474	0.000197015	0.000369949
153.164	0.000258332	0.000129976	2.95494E-05	2.48939E-05	6.53907E-05
154.027	3.25704E-05	6.86523E-05	0.000139963	5.37921E-05	0.000186627
154.063	0.000244545	0.000576275	0.000158661	5.00257E-05	0.00040404
154.078	0.000254263	0.000222685	0	0	0
154.099	0.000217113	0.000293737	3.78527E-05	4.48442E-05	0.000200532
154.172	0.00011214	5.36076E-05	1.15086E-05	7.73329E-06	2.23922E-05
155.034	0.000104232	0.000612351	0.0005155	3.45103E-05	0.0003635
155.071	0	3.14245E-05	0	0	0.000239655
155.086	0.00127266	0.001115129	0.000399477	0.000133049	0.00025407
155.18	0.000258682	9.74551E-05	0.000027582	1.42642E-05	4.30963E-05
156.042	0.000131085	0.000208328	0.000165707	6.01367E-05	0.000238756
156.079	0	0.000239955	3.58145E-05	0	0.000136893
156.094	0.00	0.00	0.00	5.38041E-05	0.000108472
156.188	4.98618E-05	2.78216E-05	3.97842E-06	5.11729E-06	1.18834E-05
156.977	1.44962E-05	4.24284E-06	9.34013E-06	3.85705E-05	1.40906E-05
157.05	0.000243905	4.91541E-05	0.000177189	0.000184104	0.000361324
157.065	0	0.000302998	0	0	0
157.102	0.00124857	0.000823774	0.000190903	5.86158E-05	0.000237189
158.037	9.04821E-05	7.76967E-05	0.000105299	5.29526E-05	0.000203008
158.073	0.000292073	0.000561427	0.000177717	4.44635E-05	0.000229901
158.109	0.000508126	0.000366328	8.63439E-05	2.89132E-05	0.000084792
159.045	0	7.55211E-05	0.000133953	4.85926E-05	0.000306609
159.066	0.000382839	0.00058249	0.000180169	8.70502E-05	0.00022478
159.102	0	0.000350318	0	5.95331E-05	0.000204925
159.117	0.00129846	0.000547294	6.22413E-05	0	0.000126042
160.016	3.57415E-05	2.0134E-06	2.74006E-05	1.42732E-05	0.000119034
160.052	0.000181762	0.000377631	0.000164262	3.44923E-05	0.000347338
160.074	4.49601E-05	6.73254E-05	0	0.000013137	0
160.089	5.97802E-05	0.000151249	0	0	6.18478E-05
160.125	0.000330803	0.000195905	0	1.62558E-06	6.54605E-05
161.024	0.000071782	4.40425E-05	7.42343E-05	4.05781E-05	0.000223672
161.039	4.08662E-06	4.15569E-06	1.42793E-06	0	7.77572E-06
161.06	0.000499668	0.000937559	0.000379683	0.000118109	0.000333103
161.097	0.000219972	0.00052361	0.000138548	0.000077261	0.000211074
161.133	0.000863482	0.000453286	0.000064121	1.40573E-05	0.000168618
162.032	8.43707E-05	8.75702E-05	0.000104631	9.44911E-05	0.00024249
162.105	0.000034114	0.000137823	0	0	6.58089E-05
162.141	0.000244115	0.000139228	2.20494E-05	8.92387E-06	5.00532E-05
163.04	0.000159028	0.000293849	0.000393278	0.000104338	0.000517643
163.055	8.45836E-05	0.000374034	0	0	0
163.076	0.000393906	0.000621347	0.000316494	0.00010228	0.000263933
163.112	0	0.000215417	0	4.75883E-05	0.000152526
163.149	0.000734106	0.000240472	5.69699E-05	2.20339E-05	9.56013E-05
164.011	3.09708E-05	0	4.54483E-05	0.000030607	0.000127689
164.047	0.000128246	0.000275058	0	9.70484E-06	0.000413593
164.063	0.000174774	0.00025058	0	0	2.54868E-06
164.084	0.000191719	0.00047448	7.50416E-05	1.85003E-05	0.000159504
164.12	4.32296E-05	0.000129833	4.62427E-06	1.11483E-05	6.05141E-05
164.156	0.000162737	6.71962E-05	2.29434E-06	9.11164E-06	2.09207E-05
165.019	6.19836E-05	8.83926E-05	0.000196135	0.000111493	0.00035169
165.07	0.00118949	0.001912007	0.000889352	0	0.000468348
165.092	0.000520892	0.000613636	5.07726E-05	0.000058247	0
165.128	8.63442E-05	0.0002468	1.69813E-05	0.000018992	0.000188453
165.164	0.000386638	8.44686E-05	6.52921E-06	1.59411E-05	9.47617E-06
166.027	0.000139863	0.000110532	0.000102857	3.36789E-05	0.00023658
166.048	0	5.51416E-05	0	0	9.68891E-05
166.078	0.000690617	0.001021608	0.00038954	4.49731E-05	0.000239724
166.172	0.000138633	0.000104948	1.79431E-05	1.10124E-05	3.50732E-05
167.034	0.000139753	0.000212208	0.000228767	6.89157E-05	0.000348885
167.086	0.0011359	0.001837145	0.000362819	0.000120227	2.74215E-05
168.042	0.000201517	0.00054383	0.000267806	3.07489E-05	0.000229392
168.094	0.000574358	0.001043827	0.000229145	8.4447E-06	0.000134327
168.989	0	0	6.85373E-06	1.61149E-05	3.09533E-05
169.05	0.000198208	0.000512693	0.000357497	9.21687E-05	0.000237009
169.087	0	0.000418817	3.03846E-05	9.78748E-06	2.68305E-05
169.102	0.000843337	0.000512825	0.000114408	4.78142E-05	0.000205284
169.196	0.000166386	6.43996E-05	1.41179E-05	6.19205E-06	2.61656E-05
170.045	9.19317E-05	0.000107121	0.000126767	4.45404E-05	0.000214338
170.073	0.000156589	0.000351909	9.45266E-05	0.000014553	0.000114332
170.109	0.000343549	0.000299207	7.67638E-05	6.83441E-06	0.000105447
170.203	3.36081E-05	1.88889E-05	2.3672E-07	9.70124E-07	8.23732E-06
171.029	5.96942E-05	7.42079E-05	9.16412E-05	2.11595E-05	0.000154692
171.066	0.00030075	0.00057123	0.000242082	5.30906E-05	0.000302296
171.102	0	0.000136541	0	0	1.26151E-05
171.117	0.000803737	0.000454999	7.67638E-05	2.25026E-06	0.000163157
172.061	0.000199137	0.000276981	0.000216547	4.82059E-05	0.000342367
172.074	0	6.90668E-07	3.66637E-07	0	0
172.089	0.000104722	0.000245181	0	5.5294E-06	1.79559E-05
172.125	0.000249054	0.000203956	5.31367E-05	6.57698E-06	9.22431E-05
173.024	0.000052951	1.02346E-05	7.71894E-05	3.88703E-05	0.000234553
173.06	0.000318636	0.00051606	0.000245501	4.86056E-05	0.000292822
173.097	0.000111301	0.000364534	9.07571E-05	5.54539E-05	0.000135595
173.133	0.000639911	0.000370065	8.96997E-05	1.94137E-06	0.000108202
174.032	0.000146931	7.5866E-05	0.000102049	3.03152E-05	0.000313347
174.068	0.000284305	0.000514918	0.000192986	1.87311E-05	0.000204755
174.105	0.000104702	0.000217758	1.81175E-05	1.84703E-05	9.50213E-05
174.141	0.000174134	0.000112722	1.43232E-05	0	4.12465E-05
175.04	0.000241456	0.000209229	0.000236929	8.06356E-05	0.000518312
175.076	0.000460948	0.00070085	0.00024881	3.09997E-05	0.000153025
175.112	0.00003414	0.000202369	7.67588E-06	5.20962E-05	0.000148562
175.149	0.000503027	0.000255199	5.86084E-05	2.45471E-06	7.10019E-05
176.047	0.000216103	0.000319355	0.000199355	3.27825E-05	0.00037527
