PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
108.053	4.08332E-05	0.000117881	0.000106776	6.04315E-05	3.78739E-05
108.058	0.00031687	0.00109923	0.000590178	0.000612819	0.000399635
108.089	0.000313561	0.000235149	0.000109924	9.60941E-05	6.30822E-05
108.094	0.000851158	0.000837366	0.000346701	0.000252014	0.000214741
109.003	2.88253E-07	1.5088E-07	0	0	5.53656E-07
109.029	0.000200495	2.49508E-11	0.00100496	0.000573147	0.000423682
109.061	2.55524E-05	6.84337E-05	4.50227E-05	4.89269E-05	3.10037E-05
109.065	4.18465E-05	0.00188093	0.000677924	0.00118777	0.000477668
109.097	7.59794E-05	4.69157E-05	3.10532E-05	0.000025795	1.97716E-05
109.102	0.00652139	0.00210155	0.00120121	0.000977891	0.000611489
110.037	0.000247908	0.000675097	0.00103745	0.000462943	0.000504768
110.069	7.40769E-06	0.000106284	5.22996E-05	0.000097516	3.68206E-05
110.073	0.000183566	0.000486128	0.000324962	0.000453652	0.000198832
110.105	0.000574445	9.84587E-05	0.000106439	9.76878E-05	5.56493E-05
110.11	0.000726244	0.00039325	0.000217677	7.94426E-05	7.26192E-05
111.045	0.0003523	0.000466055	0.000482858	0.00131447	0.000448739
111.076	1.36044E-05	4.58729E-05	2.42709E-05	3.28019E-05	1.49735E-05
111.081	0.0001507	0.000726028	0.00027946	0.000876642	0.000257133
111.113	6.35791E-05	2.76388E-05	1.92831E-05	7.98255E-06	6.63213E-06
111.117	0.00373563	0.000140037	0.000611568	0.00019189	0.000233248
112.031	6.30209E-05	4.68318E-10	0.000224473	0.000101402	0
112.052	0.000135212	0.000232914	0.000258711	0.000513146	0.000207638
112.084	9.44004E-06	0.000113874	1.86943E-05	5.62166E-05	1.72241E-05
112.121	0.000329789	0	5.29361E-05	1.81236E-05	0.000019479
112.125	0.000440241	0.00015813	0.000129326	0	4.99887E-05
113.024	0	1.14656E-11	8.79658E-05	0.000626193	0.000195494
113.035	8.74227E-06	3.10424E-06	2.00128E-05	9.94391E-06	3.08305E-06
113.039	0.000232945	0.00103446	0.000633167	7.17222E-05	0.000195222
113.06	0.000280706	7.30497E-05	0.000246817	0.000695288	0.000197507
113.097	0.00010643	2.90473E-05	3.09508E-05	0.000300398	3.58828E-05
113.129	4.03763E-05	0	1.18364E-05	1.74059E-06	5.02917E-06
113.133	0.000857367	0.000132429	0.000110946	3.90892E-06	4.74974E-05
114.032	0	2.57758E-11	6.27872E-05	0.000318868	4.96857E-05
114.043	2.80837E-05	4.01406E-05	6.31153E-05	0.00001606	2.30381E-05
114.047	0.000180604	0.000609203	0.000390923	9.96869E-05	0.00014394
114.068	0.000123091	3.34371E-05	0.000112106	0.000276372	7.20565E-05
114.1	8.64088E-06	2.73012E-05	1.49599E-06	1.76838E-05	2.82118E-06
114.104	1.67714E-05	5.06257E-06	9.4634E-06	3.18728E-05	1.80631E-06
114.136	7.70275E-05	0	9.81962E-06	2.18047E-06	4.30944E-06
114.141	8.09691E-06	2.00594E-05	5.19865E-06	2.9533E-06	4.38904E-06
115.003	0.000033041	4.05733E-10	1.13865E-05	0.000135423	2.11165E-05
