PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
07/05/2013 0:59	07/05/2013 1:03	0.115112703	0.091369764	0.816009812	0.717179346	0.437214207
07/05/2013 1:03	07/05/2013 1:08	0.10792342	0.120550768	0.782900266	0.703063631	0.409298088
07/05/2013 1:08	07/05/2013 1:13	0.117252157	0.140432856	0.772168347	0.790625736	0.418817032
07/05/2013 1:13	07/05/2013 1:17	0.160773234	0.157016729	0.757803294	0.752173913	0.415731303
07/05/2013 1:17	07/05/2013 1:22	0.104572743	0.123284952	0.748750699	0.807960263	0.464699179
07/05/2013 1:22	07/05/2013 1:27	0.099333119	0.101704777	0.775237789	0.806956522	0.436146001
07/05/2013 1:27	07/05/2013 1:31	0.150455673	0.152516865	0.812621317	0.73149889	0.493930887
07/05/2013 1:31	07/05/2013 1:36	0.164236191	0.119475888	0.802166771	0.900590039	0.488457439
07/05/2013 1:36	07/05/2013 1:41	0.100578391	0.122363924	0.798803633	0.81615975	0.468254492
07/05/2013 1:41	07/05/2013 1:45	0.095333751	0.130582457	0.779257452	0.793923811	0.424671743
07/05/2013 1:45	07/05/2013 1:50	0.11928219	0.166166909	0.802204749	0.72158275	0.479331307
07/05/2013 1:50	07/05/2013 1:55	0.091862546	0.153172327	0.785198984	0.787252586	0.45740328
07/05/2013 1:55	07/05/2013 1:59	0.178443794	0.114777004	0.746422767	0.881051817	0.449909771
07/05/2013 1:59	07/05/2013 2:04	0.119285474	0.167467251	0.753998427	0.814396135	0.409697787
07/05/2013 2:04	07/05/2013 2:09	0.114337626	0.151261083	0.76094018	0.762726835	0.428709775
07/05/2013 2:09	07/05/2013 2:13	0.106864244	0.150567474	0.724372748	0.785179447	0.479668609
07/05/2013 2:13	07/05/2013 2:18	0.138104916	0.136334186	0.765262859	0.880036374	0.430424552
07/05/2013 2:18	07/05/2013 2:23	0.086164916	0.172963026	0.704189188	0.846605704	0.42511473
07/05/2013 2:23	07/05/2013 2:27	0.117553163	0.152051786	0.72138697	0.822829473	0.411205924
07/05/2013 2:27	07/05/2013 2:32	0.123679919	0.16415474	0.661584616	0.84080979	0.401339875
07/05/2013 2:32	07/05/2013 2:37	0.094981309	0.131201293	0.754339407	0.857822831	0.389187126
07/05/2013 2:37	07/05/2013 2:41	0.096419031	0.099229578	0.715400639	0.848134657	0.459236485
07/05/2013 2:41	07/05/2013 2:46	0.08894986	0.098861968	0.687032272	0.896712674	0.395548575
07/05/2013 2:46	07/05/2013 2:51	0.107245246	0.120793823	0.681527957	0.834678605	0.448002442
07/05/2013 2:51	07/05/2013 2:55	0.107755213	0.114247649	0.732599609	0.79965699	0.420473854
07/05/2013 2:55	07/05/2013 3:00	0.090815604	0.110797502	0.742033568	0.930081916	0.440499513
07/05/2013 3:00	07/05/2013 3:05	0.103869217	0.129719652	0.687821449	0.917168696	0.442671304
07/05/2013 3:05	07/05/2013 3:09	0.198486676	0.115854137	0.762239364	0.911914446	0.423791491
07/05/2013 3:09	07/05/2013 3:14	0.096597404	0.09737687	0.808951749	0.800954543	0.410793318
07/05/2013 3:14	07/05/2013 3:19	0.074447369	0.107991251	0.740173819	0.853930823	0.435248155
07/05/2013 3:19	07/05/2013 3:23	0.114080668	0.130865073	0.758013571	0.822450765	0.443305672
07/05/2013 3:23	07/05/2013 3:28	0.083661377	0.117412178	0.727441353	0.878215802	0.403640978
07/05/2013 3:28	07/05/2013 3:33	0.116152963	0.078647104	0.749397331	0.868235519	0.4344741
07/05/2013 3:33	07/05/2013 3:37	0.08985245	0.098790999	0.761737223	0.823460145	0.421395881
07/05/2013 3:37	07/05/2013 3:42	0.082604152	0.096845554	0.726785287	0.843186493	0.437387
07/05/2013 3:42	07/05/2013 3:47	0.081058863	0.136184379	0.690790711	0.896551641	0.459261135
07/05/2013 3:47	07/05/2013 3:51	0.101381896	0.088856873	0.78007767	0.832599508	0.47277494
07/05/2013 3:51	07/05/2013 3:56	0.094094141	0.112958343	0.747835929	0.860050196	0.429298
07/05/2013 3:56	07/05/2013 4:01	0.079810964	0.078441998	0.769111778	0.866219405	0.36584504
07/05/2013 4:01	07/05/2013 4:05	0.073206475	0.007096141	0.749059778	0.948870363	0.400127108
07/05/2013 4:05	07/05/2013 4:10	0.181121248	0.090480335	0.818037689	0.882729575	0.389660394
07/05/2013 4:10	07/05/2013 4:15	0.109912841	0.09331281	0.759422824	0.874136009	0.399908787
07/05/2013 4:15	07/05/2013 4:19	0.156766016	0.067069954	0.725585087	0.916833103	0.378458032
07/05/2013 4:19	07/05/2013 4:24	0.062193254	0.11855614	0.712133168	0.889421837	0.449891691
07/05/2013 4:24	07/05/2013 4:29	0.086709262	0.134152771	0.716305646	0.845067789	0.410441016
07/05/2013 4:29	07/05/2013 4:33	0.065734877	0.114995012	0.712691661	0.899879227	0.355555556
07/05/2013 4:33	07/05/2013 4:38	0.139540487	0.159095333	0.683970217	0.87412844	0.376146789
07/05/2013 4:38	07/05/2013 4:43	0.159304939	0.09996881	0.762445215	0.923779947	0.312817617
07/05/2013 4:43	07/05/2013 4:47	0.103054189	0.088946733	0.718921924	0.914491398	0.396540177
