PMF_m/z	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
120.021	0.000144672	0.000178851	0.000342457	0.00029649	0.000131374
120.058	0.000216295	0.00086418	0.000750157	0.000420517	0.000279196
120.094	0.00116578	0.000803128	0.000410662	0.000245868	0.000333506
121.029	0.000345963	0.000784407	0.00058103	0.000765814	0.000282249
121.065	0.000196611	0.001232346	0.00113989	0.000630044	0.000518649
121.102	0.00279158	0.00189398	0.000414724	0.00065387	0.000708707
122.037	0.000222161	0.00108056	0.000513675	0.000385168	0.000302652
122.073	0.000149421	0.000801681	0.000680842	0.000326153	0.00033787
122.11	0.000760455	0.000516247	0.000192199	0.000158574	0.000207357
123.008	0	5.15981E-05	0.00030993	0.000143632	9.18627E-05
123.045	0.000316052	0.001618227	0.000597889	0.000486351	0.00044666
123.081	0	0.000938541	0.000905978	0.00056075	0.000464099
123.117	0.00335677	0.000934348	0.00023149	0.000705916	0.000313364
124.016	5.82929E-05	8.58068E-05	0.000277853	0.000231578	8.83779E-05
124.052	0.000159937	0.000868844	0.0005622	0.000443301	0.000327039
124.089	8.79258E-05	0.000427593	0.000380717	0.000202507	0.000196826
124.125	0.000675015	0.000271081	9.76364E-05	0.000104031	8.98906E-05
125.024	9.80252E-05	0.000400253	0.000477336	0.000445347	0.000269155
125.06	0.000287499	0.000804186	0.00071639	0.000872151	0.000552806
125.097	0.000104905	0.000392676	0.000361216	0.000402457	0.000279106
125.133	0.00130705	0.00026671	8.88919E-05	0.00023921	5.26167E-05
126.032	0	9.79937E-05	0.00048495	0.00027871	8.55228E-05
126.047	0.000175311	0.000766336	0.000364368	0.000165012	0
126.068	0.000181476	0.000384727	0.000456176	0.000442779	0.000208749
126.104	6.29291E-05	0.000128601	0.000119372	0.000131568	6.30561E-05
126.141	0.000325311	7.55198E-05	0.00005428	0.000044654	2.15136E-05
127.039	0	4.48844E-05	0.000889479	0.000561913	0.000128951
127.055	0.000602095	0.001338674	0.000496746	0.000386502	0.000199289
127.076	0.000343967	0.000587677	0.000460078	0.000505946	0.000328941
127.112	0.000149142	0.000166287	0.000107636	0.000190784	4.57051E-05
127.149	0.000522081	6.82697E-05	1.84295E-05	8.09586E-05	1.13154E-05
128.063	0.00138966	0.002099072	0.00157091	0.000598535	0.000765409
128.084	0.000586391	0.000946926	0	0.000145317	0.000333386
129.034	0.000392125	7.21957E-05	0.00123414	0.000375742	4.97906E-05
129.07	0.00179361	0.001147555	0.00210088	0.00046072	8.33634E-05
129.092	0.000722603	0.00105034	0	0.000274508	0.000321452
130.042	0.000127183	0.000269108	0.000618339	0.000284647	6.03512E-05
130.063	2.32398E-06	3.266E-06	1.82294E-05	0	3.59915E-06
130.078	0.000973059	0.001058714	0.000519198	0.000245758	0.000384902
131.05	0.000150818	0.001237163	0.000996064	0.000373897	0.000272379
131.086	0.0021861	0.001931573	0.000476016	0.000480174	0.000694952
132.057	0.000230502	0.000829275	0.000529263	0.000386983	0.000235819
132.094	0.000570568	0.000590945	0.000448041	0.000117088	0.00018217
132.115	6.25111E-05	6.27515E-05	0	3.50441E-05	0
133.029	0.000142218	0.000257769	0.00030929	0.000430365	0.000174191
133.065	0.000296318	0.000996173	0.00104714	0.000467769	0.00015531
133.102	0.00261719	0.001535467	0.000300715	0.000408955	0.000598456
134.016	2.62747E-06	0	8.46127E-06	0	1.74081E-05
134.037	0.000145371	0.000506496	0.000341036	0.000399167	9.99626E-05
134.073	0.00014989	0.000611634	0.00052377	0.000256237	0.000201921
134.109	0.000688663	0.000492293	0.000148557	0.000113869	0.000178446
135.023	0	0	4.56115E-05	0	1.96485E-05
135.045	0.000268453	0.000906121	0.0003496	0.000601815	0.000226428
135.081	4.09734E-05	0.000678452	0.000734569	0.00038578	0.000327409
135.117	0.0017997	0.00101071	0.000128766	0.000367439	0.000335938
136.016	5.11247E-05	8.27511E-05	0.000216422	0.000175311	4.22323E-05
136.052	0.000145231	0.000735706	0.000396835	0.00035737	0.000193692
136.089	6.75962E-05	0.000403343	0.000390091	0.000165965	0.000133627
136.125	0.000429827	0.000278308	4.69973E-05	8.22964E-05	9.09157E-05
137.024	7.98187E-05	0.000215678	0.000476746	0.000444224	0.000105386
137.06	0.000478603	0.002576496	0.000468652	0	0.000285273
137.097	9.60488E-06	0.000815501	0.000428441	7.07641E-05	0.000205035
137.133	0.00135454	0.000351204	5.07462E-06	0.000283955	0.000133356
138.032	1.99445E-05	0.000128414	0.000501889	0.000326013	0
138.068	0.000102072	0.000697551	0.000512585	0.00016429	4.57962E-05
138.105	5.28287E-05	0.000243139	0.000176861	9.29773E-05	5.69675E-05
138.141	0.000338819	0.000116508	6.15058E-05	6.36622E-05	2.20141E-05
139.04	4.12497E-05	0.000148158	0.00096892	0.000652446	8.77722E-05
139.055	0	0.000982667	0.000158542	0	0
139.076	0.000315703	0.000539995	0.000615088	0.000560489	0.000184753
139.112	5.20874E-05	0.000249579	0.000164655	0.000188738	6.05514E-05
139.149	0.000406761	8.92379E-05	2.17802E-05	9.81969E-05	3.80567E-06
140.011	0	1.46196E-05	0.000146306	2.64651E-05	0.000029177
140.047	0	0.000171191	0.000477877	0.000358102	0
140.063	3.78766E-05	0.000306262	0.000206397	0	0
140.084	5.55134E-05	0.000173655	0.000314943	0.000205004	0
140.12	2.26232E-05	7.76452E-05	6.46384E-05	5.47292E-05	4.39702E-06
140.156	0.000143495	3.42613E-05	1.88187E-05	2.60971E-05	1.02272E-06
141.019	0	2.26167E-05	0.000339605	1.73827E-05	7.04873E-05
141.055	0	7.28739E-05	0.000418266	0.000543411	0
141.07	0.000745281	0.000819115	0.00107355	0	0
141.092	0.000549039	0.000892213	4.11292E-05	0.000380485	0.000350975
141.164	0.000313309	0.000117487	0	0.00008072	3.17168E-05
142.042	1.46069E-05	7.40404E-05	0.000428661	0.000191135	1.36259E-05
142.078	0.000375982	0.000568706	0.00083239	0.00011417	0
142.099	0.000270948	0.000227979	0.000127116	7.36361E-05	1.77705E-05
142.136	9.86498E-06	5.44573E-05	1.62874E-05	2.36332E-05	0
143.034	2.50765E-05	3.62364E-05	0.000319455	0.00019637	1.74091E-05
143.05	7.74842E-06	1.28965E-05	8.08768E-05	0	0
143.071	0	0.000230785	5.09613E-06	0.000166947	0
143.086	0.000661965	0.000154023	0.000878113	0	0
143.107	0.000544579	0.00056785	0	0.000216777	0.000133627
144.042	2.08463E-05	3.73548E-05	0.000405039	0.000171761	0
144.057	0	0.000246541	5.05991E-05	0	0
144.079	0	0.000224396	0.000340836	4.56378E-05	0
144.094	0.000171639	7.4237E-05	0.00015568	0	0
144.115	8.15367E-05	0.000142206	9.94924E-05	2.27898E-05	0
144.151	1.31573E-05	2.14029E-05	0	1.18281E-05	0
145.05	0.000106561	0.000356326	0.000526832	0.000476263	5.68433E-05
