PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
18/06/2012 2:41	18/06/2012 3:00	2.723219981	0	8.591394819
18/06/2012 3:00	18/06/2012 3:19	3.242184424	0	8.746180576
18/06/2012 3:19	18/06/2012 3:37	1.786809561	1.481661269	8.232482171
18/06/2012 3:37	18/06/2012 3:56	1.418377849	0.025593765	9.568932986
18/06/2012 3:56	18/06/2012 4:15	1.326866819	2.254891773	8.200147408
18/06/2012 4:15	18/06/2012 4:33	2.78553515	1.082298541	7.855906309
18/06/2012 4:33	18/06/2012 4:52	3.09168551	0.648702002	8.718642988
18/06/2012 4:52	18/06/2012 5:11	2.443228775	0.226224192	9.272818533
18/06/2012 5:11	18/06/2012 5:29	1.795958695	1.869714493	7.858501812
18/06/2012 5:29	18/06/2012 5:48	1.263453668	2.415655733	7.850310599
18/06/2012 5:48	18/06/2012 6:07	1.326062724	2.040056099	8.161936177
18/06/2012 6:07	18/06/2012 6:25	1.402447364	2.92787901	7.591578626
18/06/2012 6:25	18/06/2012 6:44	1.657042604	2.577454851	7.753542545
18/06/2012 6:44	18/06/2012 7:03	1.603217494	2.965433985	7.614013521
18/06/2012 7:03	18/06/2012 7:21	0.986585581	3.913350422	6.975968997
18/06/2012 7:21	18/06/2012 7:40	1.190253797	3.859181349	7.352389853
18/06/2012 7:40	18/06/2012 7:59	1.386241681	3.504281643	7.758986676
18/06/2012 7:59	18/06/2012 8:17	1.084013461	4.627177039	6.6484595
18/06/2012 8:17	18/06/2012 8:36	1.194995462	3.460936065	7.666603473
18/06/2012 8:36	18/06/2012 8:55	0.716736878	3.85065331	5.143709812
18/06/2012 8:55	18/06/2012 10:02	0.54447842	1.32843352	6.611248059
18/06/2012 10:02	18/06/2012 10:21	0.469385526	1.442365054	6.211219421
18/06/2012 10:21	18/06/2012 10:40	0.487363865	1.699070026	6.13707611
18/06/2012 10:40	18/06/2012 10:58	0.392466235	2.947451087	5.618402679
18/06/2012 10:58	18/06/2012 11:17	0.438925182	3.094880145	5.764102173
18/06/2012 11:17	18/06/2012 11:36	0.269426406	4.116051272	4.763796822
18/06/2012 11:36	18/06/2012 11:59	0.361430807	3.803715724	5.657129469
18/06/2012 11:59	18/06/2012 12:18	0.404634365	3.736320234	5.151828401
18/06/2012 12:18	18/06/2012 12:36	0.308145043	3.569575104	5.213904853
18/06/2012 12:36	18/06/2012 12:55	0.328448852	5.308161962	4.687600686
18/06/2012 12:55	18/06/2012 13:14	0.429369527	4.643224416	5.769268556
18/06/2012 13:14	18/06/2012 13:32	0.585673517	5.665953436	4.684321046
18/06/2012 13:32	18/06/2012 13:51	0.572477296	4.67732506	6.324382145
