PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
22/10/2012 22:28	22/10/2012 22:33	0.38241459	0.787690134	1.132525923	0.939652084	2.35451877
22/10/2012 22:33	22/10/2012 22:38	0.395920643	0.737912738	1.324024907	0.954771486	2.148041877
22/10/2012 22:38	22/10/2012 22:42	0.338587429	0.858431052	1.391415915	1.149455828	1.818906829
22/10/2012 22:42	22/10/2012 22:47	0.416326142	0.812183084	1.29557493	0.867970287	2.145773092
22/10/2012 22:47	22/10/2012 22:52	0.389257281	0.780107992	1.317637841	0.981109361	2.022237747
22/10/2012 22:52	22/10/2012 22:56	0.41902401	0.861676337	1.344308801	0.918865178	2.028601759
22/10/2012 22:56	22/10/2012 23:01	0.495658859	0.774917223	1.27113822	0.919359493	2.247910138
22/10/2012 23:01	22/10/2012 23:06	0.443731791	0.930247568	1.249196255	0.853164414	2.088149606
22/10/2012 23:06	22/10/2012 23:10	0.488794667	0.718056455	1.206599702	0.996110014	2.20164369
22/10/2012 23:10	22/10/2012 23:15	0.394872071	0.775145988	1.278972025	0.958050367	2.103534162
22/10/2012 23:15	22/10/2012 23:20	0.508677341	0.848166471	1.144600911	0.976262702	2.20826423
22/10/2012 23:20	22/10/2012 23:24	0.519776966	0.7652755	1.287857553	0.983482507	2.233749081
22/10/2012 23:24	22/10/2012 23:29	0.516788535	0.939964882	1.157549252	0.933987993	2.345903565
22/10/2012 23:29	22/10/2012 23:34	0.558874568	0.844909943	1.170345547	0.940956354	2.317765336
22/10/2012 23:34	22/10/2012 23:38	0.445299751	0.796731815	1.11873817	0.863658352	2.267496593
22/10/2012 23:38	22/10/2012 23:43	0.480087357	0.745207785	1.125611831	0.982187515	2.22951766
22/10/2012 23:43	22/10/2012 23:48	0.491900534	0.720155655	1.343405295	0.8133151	2.078350142
22/10/2012 23:48	22/10/2012 23:52	0.534914873	0.698083211	1.329792623	0.788908934	2.049300301
22/10/2012 23:52	22/10/2012 23:57	0.430020412	0.715103062	1.16427597	0.932298256	1.991949838
22/10/2012 23:57	23/10/2012 0:02	0.469570922	0.77940849	1.193176552	0.786758732	2.110285725
23/10/2012 0:02	23/10/2012 0:06	0.516644372	0.718498768	1.150117123	0.838047507	2.22259212
23/10/2012 0:06	23/10/2012 0:11	0.580781976	0.700111991	1.183371198	0.870566928	2.032852111
23/10/2012 0:11	23/10/2012 0:16	0.704911717	0.717262239	1.032251204	0.873031701	2.373194222
23/10/2012 0:16	23/10/2012 0:20	0.939642007	0.73062033	1.293566795	0.939087774	1.928009278
23/10/2012 0:20	23/10/2012 0:25	1.048581628	0.60908001	1.213646691	0.913408356	2.184648914
23/10/2012 0:25	23/10/2012 0:30	2.134341434	0.514583284	1.262017381	0.829184901	2.17737827
23/10/2012 0:30	23/10/2012 0:34	2.685827018	0.415780339	1.390707302	0.910779315	1.98225763
23/10/2012 0:34	23/10/2012 0:39	1.84701065	0.529457949	1.319606868	0.876693516	2.057111924
23/10/2012 0:39	23/10/2012 0:43	3.238227214	0.428746176	1.379015309	1.007710535	1.979112816
23/10/2012 0:43	23/10/2012 0:48	3.463132366	0.425043355	1.307782475	0.938841518	2.105913124
23/10/2012 0:48	23/10/2012 0:53	2.479753108	0.562650241	1.212244881	1.048774202	1.946464557
23/10/2012 0:53	23/10/2012 0:58	2.878374208	0.439221628	1.236578174	1.002760229	2.075072649
23/10/2012 0:58	23/10/2012 1:02	2.854897083	0.393987156	1.411818818	0.890583297	2.137659472
23/10/2012 1:02	23/10/2012 1:07	2.483095737	0.473517364	1.292869552	0.882632466	2.092362424
23/10/2012 1:07	23/10/2012 1:12	2.321535124	0.414710056	1.33088612	0.919781733	1.938135831
23/10/2012 1:12	23/10/2012 1:16	1.750711477	0.470440787	1.220457237	0.922617579	2.016818421
23/10/2012 1:16	23/10/2012 1:21	1.805105166	0.492933073	1.284700208	0.79874644	2.062429996
23/10/2012 1:21	23/10/2012 1:26	1.469735731	0.445352756	1.112396287	1.008295041	2.005300339
23/10/2012 1:26	23/10/2012 1:30	1.070825695	0.452523859	1.233772329	0.849166202	1.989945082
23/10/2012 1:30	23/10/2012 1:35	0.811061641	0.476173602	1.15972823	0.943874188	1.972997211
23/10/2012 1:35	23/10/2012 1:40	0.711988247	0.493301434	1.030231776	0.848056668	2.059219381
23/10/2012 1:40	23/10/2012 1:44	0.496353401	0.438135074	1.062721896	0.852266514	2.035742066
23/10/2012 1:44	23/10/2012 1:49	0.47778435	0.451910743	1.10130321	0.732685401	2.116218024
23/10/2012 1:49	23/10/2012 1:54	0.384048572	0.414288112	1.072647991	0.85436258	1.937762993
23/10/2012 1:54	23/10/2012 1:58	0.200399376	0.443779547	0.99788676	0.822061779	1.965257277
23/10/2012 1:58	23/10/2012 2:03	0.206350218	0.350799681	1.120904143	0.843285456	1.942997219
23/10/2012 2:03	23/10/2012 2:08	0.282796098	0.432615462	0.998862727	0.813462654	2.016251625
23/10/2012 2:08	23/10/2012 2:12	0.165258937	0.451063656	0.938835329	0.892923433	2.036837964
23/10/2012 2:12	23/10/2012 2:17	0.248750792	0.388051236	1.062653898	0.755900777	1.978548149
23/10/2012 2:17	23/10/2012 2:22	0.224229321	0.435504862	0.878509998	0.779530792	2.032839595
23/10/2012 2:22	23/10/2012 2:26	0.32934866	0.314182673	0.982711017	0.767126061	2.077531456
23/10/2012 2:26	23/10/2012 2:31	0.191663202	0.430925417	0.904580356	0.763925497	1.969518963
