Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
08/04/2016 10:50	08/04/2016 12:50	0.0602922	0.0421311	0.0714835	0.273483	0.216034
08/04/2016 10:55	08/04/2016 12:55	0.0857668	0.0392608	0.0701675	0.18346	0.206841
08/04/2016 11:10	08/04/2016 13:10	0.0499484	0.020486	0.0731771	0.201591	0.181584
08/04/2016 11:15	08/04/2016 13:15	0.0535394	0.0277059	0.067966	0.223223	0.203641
08/04/2016 11:20	08/04/2016 13:20	0.0581799	0.0289638	0.0683219	0.264645	0.2249
08/04/2016 11:25	08/04/2016 13:25	0.0828162	0.0592345	0.105259	0.326978	0.312254
08/04/2016 11:30	08/04/2016 13:30	0.0861763	0.0746982	0.106384	0.368195	0.372057
08/04/2016 11:35	08/04/2016 13:35	0.0600305	0.0448751	0.0927216	0.254995	0.240852
08/04/2016 11:40	08/04/2016 13:40	0.0548052	0.0475521	0.0868913	0.277062	0.228966
08/04/2016 11:45	08/04/2016 13:45	0.0696333	0.057073	0.0856404	0.302852	0.251235
08/04/2016 11:50	08/04/2016 13:50	0.0359866	0.0605695	0.070447	0.364966	0.287408
08/04/2016 11:55	08/04/2016 13:55	0.072001	0.0629738	0.0628989	0.309128	0.291215
08/04/2016 12:00	08/04/2016 14:00	0.105853	0.0582772	0.117445	0.373645	0.291819
08/04/2016 12:05	08/04/2016 14:05	0.0753863	0.046012	0.0740624	0.283575	0.249726
08/04/2016 12:10	08/04/2016 14:10	0.099295	0.0479861	0.0710248	0.254053	0.249422
08/04/2016 12:15	08/04/2016 14:15	0.0387059	0.0286171	0.0564813	0.239164	0.221759
08/04/2016 12:20	08/04/2016 14:20	0.0456225	0.0533262	0.0659011	0.245037	0.282184
08/04/2016 12:25	08/04/2016 14:25	0.0570747	0.0161306	0.0752727	0.254264	0.172143
08/04/2016 12:30	08/04/2016 14:30	0.0603083	0.0189676	0.0979631	0.298042	0.191698
08/04/2016 12:35	08/04/2016 14:35	0.0829232	0.0151607	0.0736288	0.212226	0.207712
08/04/2016 12:40	08/04/2016 14:40	0.0911889	0.0181934	0.0790828	0.261247	0.215952
08/04/2016 12:45	08/04/2016 14:45	0.0831167	0.0187733	0.0602222	0.274798	0.206668
08/04/2016 12:50	08/04/2016 14:50	0.0791874	0.0388895	0.100057	0.258731	0.229325
08/04/2016 12:55	08/04/2016 14:55	0.0916223	0.0627398	0.139619	0.264078	0.332143
08/04/2016 13:00	08/04/2016 15:00	0.0881977	0.0655283	0.102093	0.454256	0.344763
08/04/2016 13:10	08/04/2016 15:10	0.0544075	0.0430469	0.0673657	0.22945	0.218122
08/04/2016 13:15	08/04/2016 15:15	0.0444946	0.0272697	0.0448828	0.237027	0.183126
08/04/2016 13:20	08/04/2016 15:20	0.0681542	0.0267351	0.0597894	0.237562	0.184598
08/04/2016 13:25	08/04/2016 15:25	0.0694055	0.0338717	0.0491472	0.307773	0.217514
08/04/2016 13:30	08/04/2016 15:30	0.105079	0.0304584	0.102453	0.364214	0.269331
08/04/2016 13:35	08/04/2016 15:35	0.0784851	0.0235825	0.0676569	0.237837	0.19751
08/04/2016 13:40	08/04/2016 15:40	0.0865632	0.0283466	0.059415	0.25966	0.219905
