PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3
94.0055	0	0	9.70186E-05	0.000113634	0.000110065
94.0419	1.21363E-10	0.000999838	0.00037205	0.00142083	0.000813425
94.0782	0.00260662	0.000803929	9.92983E-05	0.000754685	0.000157768
94.9496	0.000102032	0.000652506	3.93997E-05	0	1.96216E-05
95.0133	2.63662E-11	0.000518837	0.000326251	0.000815656	0.000554855
95.0497	0.000386812	0.0043362	0.000316783	0.00218916	0.000732527
95.0861	0.0155217	0.00344174	0.000290487	0.00167155	0.000196197
96.0211	0.000025732	0.00285381	7.98364E-05	0.000725051	0.000600341
96.0575	4.94155E-11	0.000122069	0.000393457	0.00119212	0.000602753
96.0939	0.00195248	1.41828E-10	8.13544E-05	0.000711249	7.65858E-05
97.0078	9.25609E-06	0.00110734	0.00058486	0.000205464	0.000313558
97.029	4.35018E-11	2.05003E-05	7.24674E-05	0.000700495	0.000743042
97.0653	1.90472E-10	0.00642826	0.000304304	0.00138229	0.000122678
97.1017	0.0133453	0.00321893	0.000172669	0.000221297	7.69983E-05
98.0156	9.58779E-06	6.1607E-11	0.00446177	0.00027129	0
98.0368	4.98821E-11	9.60694E-12	0	0.000413474	0.000778712
98.0732	0.000788649	4.92124E-11	4.44813E-05	0.000858106	6.30947E-05
98.1096	0.00148896	0.000331734	0.000049141	0.000114862	0.000118652
99.0082	3.02127E-11	1.97633E-05	0.000029836	6.30502E-05	0.00006222
99.0446	2.41567E-11	0.00258752	0.000270907	0.000963648	0.000766908
99.081	0.000233713	3.36472E-11	0.000144544	0.000394355	0.000179469
99.1174	0.00224039	7.63231E-10	5.06539E-05	4.90935E-06	9.56586E-05
99.9949	2.68329E-05	0.00106131	0.000511839	4.62466E-05	0.000187505
100.031	1.0305E-10	3.06108E-11	0.000270187	0.000222447	0.000195258
100.052	7.0221E-11	1.67828E-11	6.87727E-05	0.000148879	0.000146605
100.089	4.45508E-06	6.79228E-11	4.59556E-05	7.21466E-05	7.35344E-05
101.003	0	0	0.000147976	0.000100197	0.000145531
101.024	2.94318E-06	0.000202948	0.000325737	0.000102047	0.000489978
101.039	0.000379708	0.000490154	8.98967E-05	0.000151642	0.00013788
101.06	1.22212E-10	9.41504E-06	8.40535E-05	0.000258504	0.000101946
102.047	0.000836667	0.0006531	0.000143594	0.000709547	0.000443147
