PMF Time (UTC)	PMF Time (Local)	HOA	BBOA	OOA1	OOA2	OOA3
08/04/2016 14:45	08/04/2016 16:45	0.037598691	0.001296202	0	0.074841401	0.346726949
08/04/2016 14:50	08/04/2016 16:50	0.03763369	0.000995183	0.003244124	0	0.455707214
08/04/2016 14:55	08/04/2016 16:55	0.045939703	0.000953007	0.025027749	0.034462134	0.373232766
08/04/2016 15:00	08/04/2016 17:00	0.104159935	0.000659423	0.018303799	0.042331598	0.353716599
08/04/2016 15:05	08/04/2016 17:05	0.0411328	0.000847862	0.041257223	0.067252494	0.277828965
08/04/2016 15:15	08/04/2016 17:15	0.044617626	0.015281236	0.008209147	0	0.400459976
08/04/2016 15:20	08/04/2016 17:20	0.056594884	0.000616136	0.019763869	0.020505689	0.440897954
08/04/2016 15:25	08/04/2016 17:25	0.031057733	0.005266708	0	0.127183926	0.343042847
08/04/2016 15:30	08/04/2016 17:30	0.02982108	0.015767497	0.002285743	0.120101852	0.286438535
08/04/2016 15:35	08/04/2016 17:35	0.029497239	0.000748301	0.040082996	0.094977822	0.303559107
08/04/2016 15:40	08/04/2016 17:40	0.037320277	0.014642839	0.040709822	0.044298928	0.303993371
08/04/2016 15:45	08/04/2016 17:45	0.051056304	8.87194E-05	0.037174855	0	0.323400972
08/04/2016 15:50	08/04/2016 17:50	0.055626219	0.001120853	0.004110894	0.044895184	0.334524702
08/04/2016 15:55	08/04/2016 17:55	0.017390416	0.001299499	0.036761876	0.120015856	0.180073853
08/04/2016 16:00	08/04/2016 18:00	0.023276122	0.000745811	0.020879813	0.130770318	0.222698865
08/04/2016 16:10	08/04/2016 18:10	0.011785054	0.009421729	0.012662381	0.143369974	0.203748384
08/04/2016 16:15	08/04/2016 18:15	0.038500075	0.012179577	0.010271144	0.051491425	0.323990943
08/04/2016 16:20	08/04/2016 18:20	0.032702365	0.006412708	0.028651996	0	0.352948066
08/04/2016 16:25	08/04/2016 18:25	0.025982701	0.018889198	0.009997429	0	0.359860578
08/04/2016 16:30	08/04/2016 18:30	0.031615848	0.015402087	0.00316807	0.017077146	0.298975051
08/04/2016 16:35	08/04/2016 18:35	0.016604313	0.016419893	0.028800846	0	0.313930017
08/04/2016 16:45	08/04/2016 18:45	0.039106045	0.001093212	0	0	0.353685172
08/04/2016 16:50	08/04/2016 18:50	0.020090424	0.021017378	0.011608062	0.042963423	0.291736841
08/04/2016 16:55	08/04/2016 18:55	0.031184584	0.001386325	0.044928753	0.089932932	0.195168813
