PMF_m/z	OOAa	OOAb	OOAc
120.993	2.37283E-07	5.53667E-06	1.12794E-05
121.029	0.000202006	0.000338042	5.61943E-05
121.05	1.48554E-05	0.000030448	0.00008592
121.102	0.000429017	0.000211604	4.56001E-05
122.021	2.68309E-06	5.41907E-05	2.56023E-05
122.037	0.000176299	0.00036722	0.000170149
123.029	5.48427E-06	2.35186E-05	2.09473E-05
123.081	0.000566491	0.00050796	0.000121886
123.117	0.000154819	3.77103E-05	1.38366E-10
124.016	2.09848E-05	0.000106926	3.73867E-05
124.052	0.000324999	0.000503602	0.000212541
124.125	2.8484E-05	4.79191E-06	1.47466E-05
124.993	1.70587E-06	2.69517E-06	1.34981E-05
125.006	3.93015E-06	6.05034E-06	1.86087E-05
125.045	4.03533E-06	7.44373E-05	5.24075E-05
125.06	0.000528428	0.000663272	0.000191528
125.097	0.000311897	0.000120412	4.86369E-05
125.995	1.93685E-06	6.59094E-06	2.17436E-05
126.068	0.000264614	0.000199108	0.000102376
126.141	1.18259E-05	6.44538E-06	5.23006E-05
127.003	1.27686E-06	1.30295E-05	0.000024371
127.024	3.82069E-06	3.86995E-05	0.000030475
127.039	0.000125506	0.000449174	0.00000729
127.055	0.000253472	0.000390143	0.000369387
127.112	5.37165E-05	1.06589E-05	1.35311E-05
127.149	1.55117E-05	1.39264E-05	7.79303E-05
127.993	1.08077E-06	2.92315E-06	2.53354E-06
128.063	0.000474491	0.000604595	0.000167516
128.084	0.00033616	1.37729E-10	0.000311211
129.034	5.32348E-05	0.000025104	0.000141688
129.055	1.92424E-05	0.000286144	0.000200454
129.092	0.000201339	5.67095E-11	0.000191713
130.063	0.000102079	0.000368552	7.62642E-05
130.078	0.000204672	1.82209E-10	0.000147993
131.071	7.40068E-06	9.64596E-05	8.64726E-05
131.086	0.000410311	0.000163084	0.000124463
132.006	1.63086E-05	4.85157E-05	0.000117174
132.057	0.000192769	0.000388156	7.74918E-05
132.094	0.000218496	7.97036E-05	0.000142869
133.014	2.0988E-05	7.98786E-05	0.000167795
133.029	2.85405E-05	1.97729E-10	7.52663E-05
133.065	0.000286286	0.000388003	1.93308E-05
134.016	2.05292E-05	9.84314E-05	0.000145591
134.058	4.22355E-05	0.00011682	2.20137E-05
134.109	0.000156259	4.86544E-05	0.000021523
135.008	1.47025E-06	1.73875E-05	3.69157E-05
135.023	7.03889E-07	5.48432E-06	9.56425E-06
135.029	5.8435E-06	1.47926E-05	0.00001887
135.117	0.000140351	3.74068E-05	6.20517E-06
136.016	8.37401E-06	8.24684E-05	6.60091E-05
136.089	0.000235357	0.000170229	5.68744E-05
137.06	0.000239664	0.000310035	0.000126742
137.097	0.000242202	0.000147101	2.07397E-05
137.999	2.12593E-06	2.56138E-05	1.40403E-05
138.032	3.74301E-05	0.000174546	1.90098E-05
138.105	9.72027E-05	3.38021E-05	9.37612E-06
138.141	1.20179E-05	2.77534E-06	0.000014436
139.003	3.30824E-06	5.37426E-05	3.89581E-05
139.04	9.78999E-05	0.000666891	0.000126763
139.076	0.000311819	0.000219677	0.000140129
140.047	5.08073E-05	0.000250413	7.86975E-05
140.982	9.48276E-07	6.30839E-06	6.71995E-06
141.07	0.000168022	0.000166875	8.94374E-05
141.164	8.82522E-06	1.17182E-06	2.49466E-05
142.027	7.53396E-06	3.45201E-05	1.51331E-05
142.078	0.000113838	9.87172E-05	2.90767E-05
142.099	8.45649E-05	5.30608E-11	3.54395E-05
