PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
151.112	1.87076E-07	8.01147E-05	0.000136708	0.000073957	5.40115E-05
151.149	0.000649788	0.000109912	6.39304E-05	2.78686E-05	2.13267E-05
152.014	3.02083E-06	8.47992E-05	0.00014395	0.000123971	2.71866E-05
152.063	0.000410066	0.000626301	0.00169789	0.000410751	0.000148387
152.084	0.000127606	0.000148296	0.000343653	6.63924E-05	4.51754E-05
152.12	4.91926E-05	0.000111806	0.000258883	5.89217E-05	3.68446E-05
152.156	0.000256732	0.000115668	0.00010359	0	2.48434E-05
153.043	0	0.000172896	0.000281331	0.000211783	0.000108377
153.07	0.000570516	0.000559206	0.00140807	0.000346415	0.000161751
153.115	0.000128212	0.000157506	0.000311588	0.000128545	8.10705E-05
153.164	0.000256162	0.000050558	4.68582E-05	9.7483E-06	1.09211E-05
154.001	4.89539E-06	1.66513E-05	1.96939E-05	2.28516E-05	5.64079E-06
154.027	2.19694E-06	3.56786E-05	2.17225E-05	3.49737E-05	2.99116E-05
154.05	1.05031E-05	0.00014328	0.00031303	0.000107352	8.20863E-05
154.078	0.000279292	0.000231077	0.000583751	0.000112286	5.14161E-05
154.099	0.000106135	9.31087E-05	0.000160585	6.56727E-05	4.02026E-05
154.172	0.00010938	3.20102E-05	4.41195E-05	1.69058E-05	8.58302E-06
155.034	1.55408E-06	0.000175474	0.000390345	0.000182015	6.22598E-05
155.058	0	8.94837E-05	0.000128886	6.07795E-05	0.000074059
155.086	0.000899209	0.000456075	0.000927794	0.000297468	0.000118917
155.18	0.000228165	5.29257E-05	6.43155E-05	2.43587E-05	9.69924E-06
156.042	1.86999E-05	9.62496E-05	0.00014102	0.000103817	0.000076783
156.066	0	8.16953E-05	0.000188669	4.54855E-05	3.50842E-05
156.094	0.000485667	0.000217405	0.000413419	0.000136681	0.000056434
156.188	4.05091E-05	1.37654E-05	2.06296E-05	8.16624E-06	3.36303E-06
157.014	2.47983E-05	6.73082E-05	5.44278E-05	8.25036E-05	6.55736E-05
157.065	2.4251E-06	0.000264342	0.000616549	0.000228615	0.000139234
157.102	0.00101355	0.000332028	0.000594373	0.000167453	5.63808E-05
158.021	8.61986E-06	4.59262E-05	5.69491E-05	5.23051E-05	3.91386E-05
158.058	1.76176E-05	0.000097238	0.000121703	8.97777E-05	6.86261E-05
158.073	3.02632E-05	0.000120351	0.000290617	2.15269E-05	3.57052E-05
158.109	0.000385694	0.00012558	0.000206178	5.31682E-05	1.62957E-05
