PMF_m/z	HOA	OOA1	OOA2
85.1017	0.0103311	0	0.000269458
86.0112	0	0	2.37246E-05
86.0156	0	0.000182013	0.000341825
86.0368	5.07963E-05	0.00122232	0.000687875
86.0687	0.000064659	0.000117651	7.11809E-05
86.0732	0	0.000257837	0.000150498
86.1051	0.000642233	0	1.77921E-05
86.1096	0.000135492	2.82892E-06	1.13278E-05
87.0082	0	0.00112951	0.001458441
87.019	2.81309E-05	0.00001649	2.57458E-05
87.0235	0	0.00038309	0.000352931
87.0446	0.000597583	0.00202587	0.001358983
87.0684	0	3.69237E-05	0.000146003
87.0765	0	1.60229E-05	9.37566E-06
87.081	0	1.75572E-05	7.1832E-05
87.1129	1.13638E-05	0	7.37886E-07
88.016	0	0.000184984	0.000279489
88.0268	2.43981E-05	2.68239E-05	2.88236E-05
88.0313	0.000188114	0.000142626	0.000108137
88.0399	0	9.76618E-05	6.55529E-05
88.0524	0.000227275	0.000321779	0.0002807
88.0843	0	1.83613E-06	4.20783E-06
89.0027	0.00001538	0	3.83577E-05
89.0239	4.68332E-05	0.000695177	0.001016078
89.0347	1.92741E-05	1.52608E-05	8.63019E-06
89.0391	0.00152699	0.000969767	0.00064263
89.0603	0	5.29767E-05	0.000209951
89.9953	0	1.6357E-06	7.50093E-06
90.0061	2.31301E-06	0	2.98921E-06
90.0106	1.65899E-05	2.58797E-05	2.99855E-05
90.0317	2.00213E-05	0.000303385	0.00037436
90.0425	0	7.86613E-05	6.46232E-05
90.0681	0	0.000022078	8.77599E-05
91.0139	1.55182E-06	1.15461E-06	2.86201E-06
91.0184	0	0	0.000211566
91.0548	0.010235	0.00449932	0.003687415
92.0217	0	0	1.69821E-05
92.0262	0.000189025	0.000193045	0.000351379
92.0473	0	1.93595E-05	0.000138415
92.0581	0.000778156	0.000351994	0.000268644
92.0626	0.00201955	0.000737404	0.000590702
93.0296	1.31816E-05	1.38755E-05	2.16269E-05
93.034	0.000129653	0.000321389	0.00051807
93.0552	0	4.09135E-07	0.000121546
93.0704	0.00859052	0.00265518	0.001796373
94.0055	0	3.41932E-05	5.77917E-05
94.0266	0	0	0.000162049
94.0374	9.14889E-06	2.25321E-05	3.39535E-05
94.0419	0.000588029	0.00114541	0.000821103
94.0738	0.000615161	0.000200196	0.000138149
94.0782	0.00200874	0.000627454	0.000314107
94.9455	0	1.34855E-05	5.82858E-05
95.0133	0.000280508	0.000314077	0.000653318
95.0452	3.16244E-05	7.62439E-05	5.59849E-05
95.0497	0.00103962	0.00342822	0.002607137
95.0816	0.000151206	4.65415E-05	2.3087E-05
95.0861	0.0139558	0.00197316	0.001372466
95.9881	0	0	0.000423909
96.053	6.73372E-05	0.00021948	0.000171562
96.0575	0.00060795	0.00157049	0.000995608
96.0894	0.000996156	0.000144066	0.000112343
96.0939	0.00219313	0.000255567	0.000303727
97.0078	0	0	0.000352061
97.029	0.000256411	0.00206288	0.001585072
97.0609	3.47723E-05	9.82589E-05	7.04341E-05
97.0653	0.0012788	0.00232272	0.00133067
97.0973	0.00016666	2.05357E-05	2.24439E-05
97.1017	0.00970877	0.000183934	0.000591836
98.0112	0	0	3.94817E-05
98.0156	0	5.21815E-07	1.94876E-05
98.0368	0.0002882	0.00215529	0.001109272
98.0687	8.82789E-05	0.000148727	9.09237E-05
98.0732	0.00165298	0.000581476	0.000777254
98.1051	0.00074267	0.000010736	4.82765E-05
98.1096	0	0	0.000134652
99.0082	0	0.000517674	0.000649388
99.019	0	0	3.39405E-06
99.0235	0	3.54685E-05	0.000775504
99.0446	0.000512861	0.0044167	0.002239111
99.0765	0.000118816	0.000038656	5.04266E-05
99.081	0.00073595	0.00417276	2.2978E-08
99.1129	0	0	1.23176E-05
99.1174	0	0	0.000146057
99.9619	0	0.000168571	0.000957603
100.016	0	0.00038432	0.00074024
100.027	1.46519E-05	4.06364E-06	6.94574E-05
100.031	0	8.54466E-06	3.57273E-05
100.052	0.000149914	0.000773081	0.00062597
100.076	0	2.15199E-05	6.34902E-05
100.084	4.39837E-05	3.78889E-05	2.79097E-05
100.089	0	0.000032752	2.38215E-05
100.121	0	0	1.61172E-05
101.024	5.44991E-10	0.00206578	0.001505993
101.039	6.85921E-05	0.000106599	0.000556692
101.06	0.000328523	0.000872639	0.000496437
101.092	0	2.61498E-06	1.77948E-06
101.995	0	5.4897E-06	1.58973E-05
102.011	0	2.14779E-05	5.04448E-05
102.032	0	0.000415706	0.00051553
102.043	1.69264E-05	1.96826E-05	4.49303E-05
102.047	0.000400896	0.000295384	0.000136812
103.018	4.39487E-05	0.000146767	0.000199316
103.05	4.25294E-05	2.65588E-05	1.51173E-05
103.055	0.00156825	0.000967276	0.000561851
103.076	0	3.49424E-05	0.000137013
104.022	4.25815E-06	1.22422E-05	1.6012E-05
104.026	0.000202396	0.000259137	0.000310848
104.035	0	2.91803E-05	3.20267E-05
104.058	0.00012781	8.89092E-05	4.59237E-05
104.063	0.00142923	0.000470486	0.000360156
104.079	0	1.59679E-06	9.46554E-06
105.034	0.000590532	0.000634736	0.00074524
105.055	0	0	1.97998E-05
105.066	0.000130364	3.93532E-05	3.10738E-05
105.07	0.00663376	0.0016691	0.001327867
106.037	4.08128E-05	4.89539E-05	5.93035E-05
106.042	0.0007108	0.000257677	0.000434395
106.063	0	3.68097E-05	1.71318E-05
106.074	0.000529918	0.000143736	0.000119024
106.078	0.00124955	0.000420187	0.000281757
107.045	5.55968E-05	1.98406E-05	3.33318E-05
107.05	0.000694264	0.00124843	0.00093127
107.082	0.000106687	3.50114E-05	2.49364E-05
107.086	0.0049321	0.00118632	0.000861245
108	0	1.01068E-06	1.75383E-05
108.021	0.000107889	0.000169201	0.000300802
108.053	5.20804E-05	9.51713E-05	7.17851E-05
108.058	0.000365811	0.000953044	0.000718135
108.089	0.000414978	0.000102329	7.59632E-05
108.094	0.00111314	0.000253056	0.000251618
109.003	0	0	2.49279E-06
109.008	0	2.90143E-07	4.1033E-05
109.029	0.000239073	0.00060408	0.000627246
109.061	2.78966E-05	7.17971E-05	5.5899E-05
109.065	0.000730241	0.00181603	0.001189607
109.097	8.94557E-05	0.00002176	2.20206E-05
109.102	0.00697049	0.000724912	0.000600515
109.967	0	3.88431E-06	1.42856E-05
110	0	9.39521E-06	4.33103E-05
110.011	0	0	4.9099E-06
110.016	0	8.00146E-06	9.88192E-05
110.037	0.000258273	0.000841243	0.000859871
110.069	5.51552E-05	0.000135535	9.35886E-05
110.073	0.000330636	0.000649288	0.000388026
110.105	0.000549619	6.29675E-05	5.77122E-05
110.11	0.000769172	8.17759E-05	7.56786E-05
111.019	0	1.52828E-06	1.09399E-05
111.023	0	1.15361E-05	0.000213969
111.045	0.000469253	0.00247785	0.00161638
111.076	0	4.90909E-05	3.49938E-05
111.081	0.000888758	0.00093125	0.000612756
111.113	6.30595E-05	5.51961E-06	6.89393E-06
111.117	0.00304115	2.41804E-05	0.00012892
112.016	0	0.000172021	0.000292366
112.027	6.58909E-06	2.96574E-06	2.28716E-05
112.052	0.000163305	0.00102049	0.000564013
112.084	6.92952E-05	6.95947E-05	5.21158E-05
112.089	0.000257472	0.00016697	0.000162067
112.121	0.000263421	3.15037E-06	1.02261E-05
112.125	0	2.48305E-06	0.000101588
113.003	0	0	5.78836E-05
113.024	0	0.000670742	0.000769573
113.039	0.000195766	0.000180713	0.000232854
113.06	0.000177137	0.00142196	0.000582118
113.092	2.13463E-05	1.37955E-05	1.17389E-05
113.097	0.000248278	0.000202307	0.000132779
113.129	0	2.751E-07	9.06949E-06
113.133	0.000711942	0	3.11521E-05
114.032	0	0.000380329	0.000501114
114.043	2.61088E-05	1.81843E-05	3.10236E-05
114.068	3.08943E-05	0.000372628	0.000183314
114.1	2.09327E-05	0.000016511	1.01081E-05
114.104	0	1.60379E-05	3.1063E-05
114.136	6.32047E-05	4.3789E-07	7.33866E-07
115.003	0	8.36702E-06	2.98422E-05
115.027	0	7.49267E-05	0.000116333
115.039	0	0.000284342	0.000807318
