PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
27/09/2013 16:27	27/09/2013 16:32	0.093280444	0.119345556	0.891031111	1.423237778	0.585897778
27/09/2013 16:32	27/09/2013 16:37	0.107484444	0.059230222	0.86348	1.463488889	0.553257778
27/09/2013 16:37	27/09/2013 16:41	0.135556444	0.14299	1.074346667	1.539008889	0.544631111
27/09/2013 16:41	27/09/2013 16:46	0.149346444	0.083932	1.183193333	1.673126667	0.59796
27/09/2013 16:46	27/09/2013 16:51	0.239691111	0.181072222	1.174373333	1.689628889	0.648871111
27/09/2013 16:51	27/09/2013 16:55	0.147753556	0.155865111	1.352548889	1.634966667	0.622306667
27/09/2013 16:55	27/09/2013 17:00	0.193233333	0.213625333	1.312275556	1.579104444	0.5749
27/09/2013 17:00	27/09/2013 17:05	0.198112667	0.125607778	1.27852	1.633322222	0.606606667
27/09/2013 17:05	27/09/2013 17:09	0.111053111	0.156633333	1.162537778	1.584575556	0.698784444
27/09/2013 17:09	27/09/2013 17:14	0.193596	0.208692	1.334042222	1.553908889	0.630711111
27/09/2013 17:14	27/09/2013 17:19	0.301746667	0.142550889	1.839088889	1.391793333	0.547515556
27/09/2013 17:19	27/09/2013 17:23	0.205982222	0.164632444	1.132528889	1.520284444	0.611595556
27/09/2013 17:23	27/09/2013 17:28	0.19413	0.187890667	1.160144444	1.536875556	0.595166667
27/09/2013 17:28	27/09/2013 17:33	0.305148889	0.052436222	1.187228889	1.568675556	0.559555556
27/09/2013 17:33	27/09/2013 17:37	0.239624444	0.112984222	1.2193	1.414231111	0.595964444
27/09/2013 17:37	27/09/2013 17:42	0.226764444	0.039914222	1.15806	1.537608889	0.612595556
27/09/2013 17:42	27/09/2013 17:47	0.194637333	0.106850222	1.1179	1.43736	0.482324444
27/09/2013 17:47	27/09/2013 17:51	0.204453778	0.187455778	1.043717778	1.323344444	0.619424444
27/09/2013 17:51	27/09/2013 17:56	0.193068667	0.166740444	0.948391111	1.397731111	0.613326667
27/09/2013 17:56	27/09/2013 18:01	0.201203111	0.169371556	0.998037778	1.423748889	0.582326667
27/09/2013 18:01	27/09/2013 18:05	0.253642222	0.176690889	1.059408889	1.322077778	0.552946667
27/09/2013 18:05	27/09/2013 18:10	0.200299778	0.149104222	1.100966667	1.325502222	0.446157778
27/09/2013 18:10	27/09/2013 18:15	0.232951111	0.178662	1.039217778	1.319408889	0.487068889
27/09/2013 18:15	27/09/2013 18:19	0.221681333	0.188301111	1.185411111	1.154957778	0.538202222
27/09/2013 18:19	27/09/2013 18:24	0.228677778	0.161105111	1.127784444	1.188871111	0.546937778
