PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
95.0133	2.38729E-11	0.00154277	0.000118832	0.000440915	0.000948418
95.0497	0.000116738	0.00228647	0.00276948	0.00269148	0.00170772
95.0861	0.0177583	0.00479856	0.00336695	0.00148754	0.00285082
96	1.58676E-11	0	0.000261828	5.01372E-05	3.93949E-05
96.0211	2.32986E-05	0.00150874	0.000413005	0.000944985	0.00121094
96.0575	4.47424E-11	0.00104311	0.00154175	0.0014013	0.000494739
96.0939	0.00176784	0.00145901	0.00110941	0.000296878	0.000267984
97.0078	0	0	0	0.000110951	0
97.029	3.93879E-11	0.00229241	0.00151799	0.00244635	0.00116033
97.0653	5.74878E-11	0.00134947	0.00259793	0.00161754	0.00124842
97.1017	0.0148778	0.00225979	0.000754713	0.000621906	0.00131366
98.0368	1.50546E-11	0.00234728	0	0.000859916	0
98.0732	0.000706108	0.00103445	0.00172273	0.000659209	0.000460795
99.0082	8.20688E-11	0.00053703	0.00012166	0.000962642	0.000932153
99.0446	6.56189E-11	0.00182446	0.00267533	0.0032266	0.000959502
99.081	0.000211612	0.000361248	0.00105016	0.000311627	0.00056417
99.1174	0.0026251	0.00021573	0	0.000104825	0.000144435
100.016	3.52859E-06	0	0.000355604	0.00064465	0.000389189
100.031	9.33051E-11	0.000757784	0	1.52811E-05	1.50919E-06
100.052	6.35804E-11	0.000505559	0.00081454	0.000929036	0.000275791
100.089	4.03378E-06	9.55735E-05	0.000121319	0	7.33961E-05
101.024	2.66485E-06	0.000441669	0.000510972	0.00194491	8.99852E-05
101.039	0.000119384	0.00139246	0.000285691	0.00054552	0.000020617
101.06	1.10655E-10	0.000693854	0.000805817	0.000605907	0.000370859
101.097	3.61938E-05	4.34642E-05	5.53885E-05	0	5.40779E-05
102.011	0	0.0002335	0	0.000213797	0.000111824
102.047	0.000501977	0.00214985	0.000949585	0.00105714	0.00042181
102.104	4.57502E-06	3.67047E-05	5.45222E-05	0	1.80043E-05
