PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2	OOA3
13/05/2014 20:14	13/05/2014 22:14	0.20034277	0.26727518	0.001404626	0.7282675	0	0.26567217
13/05/2014 20:18	13/05/2014 22:18	0.25627514	0.17591818	0.006263581	0.8246	0	0.2404608
13/05/2014 20:23	13/05/2014 22:23	0.20687819	0.27780061	0.001632925	0.6986284	0	0.26692767
13/05/2014 20:28	13/05/2014 22:28	0.18751869	0.4024358	0.004944004	0.6361076	0	0.3395275
13/05/2014 20:32	13/05/2014 22:32	0.25483054	0.50282	0.028121867	0.631284	0	0.3596155
13/05/2014 20:37	13/05/2014 22:37	0.30021795	0.3810117	0.007698416	0.5863247	0	0.4765537
13/05/2014 20:42	13/05/2014 22:42	0.4781192	0.4469735	0.04962604	0.6330572	0	0.5485884
13/05/2014 20:46	13/05/2014 22:46	0.2599133	0.15812356	0.019521568	0.5466261	0.008341201	0.5416816
13/05/2014 20:51	13/05/2014 22:51	0.14348505	0.18230511	0.004432132	0.6774802	1.21646E-07	0.5167638
13/05/2014 20:56	13/05/2014 22:56	0.14677756	0.20897627	0.019711629	0.6346227	0.003297656	0.6201054
13/05/2014 21:00	13/05/2014 23:00	0.08190572	0.3973797	0.000919975	0.5945955	0.022970318	0.6036258
13/05/2014 21:05	13/05/2014 23:05	0.19500271	0.27923126	0.002797933	0.7137502	0.001283815	0.5058146
13/05/2014 21:10	13/05/2014 23:10	0.16969989	0	0.002164386	0.9903446	0	0.3870195
13/05/2014 21:14	13/05/2014 23:14	0.23690014	0.19386935	0.010468483	0.7372234	0	0.5082357
13/05/2014 21:19	13/05/2014 23:19	0.19476091	0.3285535	0.027632687	0.6051696	0	0.5669497
13/05/2014 21:24	13/05/2014 23:24	0.26752721	0.4023676	0.006101203	0.594859	0	0.6316653
13/05/2014 21:28	13/05/2014 23:28	0.22665371	0.4179017	0.001133072	0.6156445	0	0.6301494
13/05/2014 21:33	13/05/2014 23:33	0.23064	0.280798	0.023217512	0.6329363	0.025715368	0.6153965
13/05/2014 21:38	13/05/2014 23:38	0.22911728	0.28657175	0.016271838	0.7111958	0	0.5740146
13/05/2014 21:42	13/05/2014 23:42	0.18757046	0.30074185	0.00073745	0.6712895	0.03382038	0.6044628
