PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
15/02/2014 22:24	15/02/2014 22:29	0.71136833	2.744488591	0.565047128	1.598740862	1.201456727
15/02/2014 22:29	15/02/2014 22:34	0.652766339	2.87032725	0.652508409	1.280983121	1.265320571
15/02/2014 22:34	15/02/2014 22:38	0.593986124	2.946907985	0.565739451	1.363101269	1.095721909
15/02/2014 22:38	15/02/2014 22:43	0.717163608	3.010641	0.499908528	1.922555687	0.475202083
15/02/2014 22:43	15/02/2014 22:48	0.708925005	3.18382669	0.542305808	1.101555521	1.38396043
15/02/2014 22:48	15/02/2014 22:52	0.673485124	2.823240041	0.286897481	1.956943675	0.92978336
15/02/2014 22:52	15/02/2014 22:57	0.857437024	3.076755096	0.580882327	1.329518152	1.244754199
15/02/2014 22:57	15/02/2014 23:02	0.648537264	3.31851573	0.771853499	1.035471559	0.965107933
15/02/2014 23:02	15/02/2014 23:04	0.596849451	2.994205766	0.581728549	1.187611311	1.357688903
15/02/2014 23:04	15/02/2014 23:09	0.686225566	2.980775879	0.274819704	1.187670702	1.537082622
15/02/2014 23:09	15/02/2014 23:14	0.509926097	2.949472137	0.5914611	1.530394863	0.969173194
15/02/2014 23:14	15/02/2014 23:18	0.547967881	2.770041023	0.535570224	1.439699577	1.247418511
15/02/2014 23:18	15/02/2014 23:23	0.588863953	2.839111746	0.680062038	1.153275575	1.665410155
15/02/2014 23:23	15/02/2014 23:28	0.629234249	2.831182604	0.464015321	1.422964987	1.422671549
15/02/2014 23:28	15/02/2014 23:32	0.770900476	3.145773566	0.445970548	1.319659143	1.578165378
15/02/2014 23:32	15/02/2014 23:37	0.810491553	3.189956714	0.518522539	1.451004048	1.58265101
15/02/2014 23:37	15/02/2014 23:42	0.713687885	3.042849045	0.616467361	1.579779234	1.282385736
15/02/2014 23:42	15/02/2014 23:46	0.950466516	3.616303276	0.505626378	1.335935106	1.280375174
15/02/2014 23:46	15/02/2014 23:51	1.322687828	3.327844923	0.428574233	1.528334579	1.573724154
15/02/2014 23:51	15/02/2014 23:56	0.890932914	3.122586612	0.485669443	1.403877886	1.76207526
15/02/2014 23:56	16/02/2014 0:00	0.830922185	3.199099574	0.515165433	1.512049918	1.365676594
16/02/2014 0:00	16/02/2014 0:05	0.712477051	3.185549996	0.699854912	1.449150036	1.549015799
16/02/2014 0:05	16/02/2014 0:10	0.874348046	3.095124565	0.641094242	1.468229391	1.496620591
16/02/2014 0:10	16/02/2014 0:14	0.930049441	3.117538429	0.538877737	1.44826091	1.632526353
16/02/2014 0:14	16/02/2014 0:19	1.072527898	3.359904677	0.60306721	1.615165452	1.480971518
16/02/2014 0:19	16/02/2014 0:24	0.870797169	3.154555189	0.569631493	1.802192062	1.330122139
16/02/2014 0:24	16/02/2014 0:28	0.788630368	3.115529346	0.640170529	1.83778984	1.160976023
16/02/2014 0:28	16/02/2014 0:33	0.793495478	3.435024107	0.482790712	1.251142953	1.56336588
16/02/2014 0:33	16/02/2014 0:38	0.738347068	3.332644843	0.727011235	1.136208474	1.531659585
16/02/2014 0:38	16/02/2014 0:42	0.64729883	3.059895483	0.690491982	1.580436654	1.190919088
16/02/2014 0:42	16/02/2014 0:47	0.667515416	2.909419237	0.59877698	1.457026721	1.78358773
16/02/2014 0:47	16/02/2014 0:52	0.647592406	3.094364371	0.637272929	2.053456598	0.863136439
16/02/2014 0:52	16/02/2014 0:56	0.722827354	3.547260028	0.38550827	1.72052708	1.386105089
16/02/2014 0:56	16/02/2014 1:01	0.592401858	3.171798431	0.605892198	1.600212598	1.510933487
16/02/2014 1:01	16/02/2014 1:06	0.77624805	3.215132582	0.694595876	1.782956024	1.086653855
16/02/2014 1:06	16/02/2014 1:10	0.700141315	3.071106561	0.610405291	1.760709603	1.355748775
16/02/2014 1:10	16/02/2014 1:15	0.629291211	2.929588306	0.543707221	1.460507306	1.894724942
16/02/2014 1:15	16/02/2014 1:20	0.449223423	3.103258335	0.628944866	1.062584379	1.689159667
