PMF_m/z	HOA	COA	BBOA	OOA1	OOA2	OOA3
175.149	0.000502241	0.000088902	0.000684242	3.32755E-05	0	9.22187E-06
175.975	4.42045E-06	2.11302E-06	0	2.6809E-06	0	8.86811E-06
176.08	7.36178E-05	0.000134058	0.00267607	4.55382E-05	1.55319E-05	1.41863E-05
176.156	0.000130472	0.000044927	0.000476093	2.53604E-05	2.51174E-06	9.04647E-06
177.055	8.56999E-06	2.93046E-07	0.00202438	0	0.000012529	0
177.991	7.79672E-06	3.5069E-06	0	7.40094E-06	0	1.46218E-05
178.027	0	0	0.00012134	1.77422E-06	4.16542E-05	1.17764E-06
178.078	0.000597772	0.000360373	0.0028539	0.000135247	6.26699E-05	0.000140346
178.999	0.000013151	8.23512E-06	0	9.87317E-06	0	2.40019E-05
179.086	0.000551009	0.00037215	0.00256554	0.000173881	0.000102053	0.000143415
179.981	7.11913E-06	6.89367E-06	0.000162009	1.51754E-05	1.98741E-05	1.97876E-05
180.094	0.000299811	0.000189606	0.00208134	0.000106514	5.99369E-05	0.00011358
181.087	0	0.000147871	0.00372567	0.000152809	0.000124044	0.000180094
181.102	0.000088495	1.87276E-05	0	0	0	0
185.097	0.000139765	0.000217818	0.00200878	0.00015058	7.47237E-05	0.000103092
187.055	0.000167477	0.000154619	0.0021106	0.000101479	6.18249E-05	0.000108235
188.063	0.000119095	0.000110192	0.00182074	7.18113E-05	4.25512E-05	9.20587E-05
189.015	0	0	0	4.90901E-06	2.65262E-06	3.77561E-06
189.019	0	0	0	0	5.25719E-06	1.13426E-05
189.07	0.000475484	0.000298506	0.00323201	0.00013185	4.15356E-05	0.000146129
189.164	0.000329038	8.92588E-05	0.000836046	5.15724E-05	0	3.81964E-05
190.009	0	1.6809E-06	0.00016886	1.09095E-05	2.50108E-05	2.00821E-05
190.999	4.44777E-06	2.69456E-06	0	0	0	4.80659E-06
191.086	0.00038612	0.000251509	0.00237382	0.000125596	6.50329E-05	0.00013173
191.973	2.68734E-06	4.08116E-07	0	3.48263E-10	0	2.33192E-06
192.079	7.62995E-05	6.64249E-05	0.00157717	2.28881E-05	4.31096E-05	4.89281E-05
192.094	9.21597E-06	4.36656E-06	0	0	0	2.99357E-06
194.073	3.23133E-05	4.93481E-05	0.00119952	3.65882E-05	0.000043055	6.81493E-05
194.094	2.01942E-06	1.22486E-06	0	9.9956E-08	0	1.30877E-06
195.081	3.13422E-05	8.54583E-05	0.00154641	6.35367E-05	8.66124E-05	8.15705E-05
195.102	1.5754E-06	6.48741E-07	0	0	0	1.04301E-06
196.125	8.36003E-05	3.88185E-05	0.000103196	0	0	0
197.097	0	0.000103187	0.0022657	6.01763E-05	7.54435E-05	0.000075568
198.105	9.98196E-05	9.54528E-05	0.00156156	5.24731E-05	2.39852E-05	5.69797E-05
199.112	0.000191885	0.000166543	0.00136872	5.75475E-05	1.07857E-05	4.34215E-05
200.063	0.000133264	8.58532E-05	0.00132093	4.12377E-05	2.29049E-05	6.33674E-05
200.12	3.91691E-05	4.34981E-05	0.000800854	8.8639E-06	0	0
200.156	3.14042E-05	6.31795E-06	2.44601E-05	2.29641E-06	6.32849E-07	2.17134E-06
202.078	0.000363633	0.000220858	0.00210887	6.31596E-05	1.63022E-05	9.13121E-05
202.136	0.00007391	2.62176E-05	0.000282786	0	0	0
202.172	1.73991E-05	2.15197E-06	4.91866E-05	2.40443E-06	0	3.24955E-06
204	1.34063E-07	1.07952E-05	0.000221955	1.14003E-05	1.69166E-05	1.77368E-05
204.094	0.000163147	0.00012157	0.00143093	4.61292E-05	1.83507E-05	5.86246E-05
204.188	6.99578E-05	1.34198E-05	0.000164605	3.16206E-06	0	2.5629E-06
