PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq
17/11/2011 19:01	17/11/2011 19:06	1.659701917	3.272264243	0.265569452	5.73423E-07
17/11/2011 19:06	17/11/2011 19:11	1.596648445	3.968026737	7.73132E-07	8.63731E-07
17/11/2011 19:11	17/11/2011 19:15	1.870888578	4.317282139	1.19049E-06	3.13926E-07
17/11/2011 19:15	17/11/2011 19:20	1.939633087	4.55373475	1.2931E-07	9.70203E-08
17/11/2011 19:20	17/11/2011 19:25	2.568445633	4.879138273	9.0834E-08	9.63264E-08
17/11/2011 19:25	17/11/2011 19:29	3.394310652	5.263096355	8.67919E-08	9.18044E-08
17/11/2011 19:29	17/11/2011 19:34	3.463721674	5.507027643	1.34348E-07	1.37687E-07
17/11/2011 19:34	17/11/2011 19:39	3.570426286	5.506415218	8.98772E-08	9.95778E-08
17/11/2011 19:39	17/11/2011 19:43	4.092352509	5.588571195	7.01693E-08	7.77758E-08
17/11/2011 19:43	17/11/2011 19:48	3.880878256	5.869469546	6.90817E-08	8.11468E-08
17/11/2011 19:48	17/11/2011 19:53	3.853157943	6.264152084	1.05243E-07	1.14727E-07
17/11/2011 19:53	17/11/2011 19:57	3.51356461	6.387677397	1.51471E-07	2.44378E-07
17/11/2011 19:57	17/11/2011 20:02	3.36015764	6.153362789	7.03283E-08	1.10501E-07
17/11/2011 20:02	17/11/2011 20:07	3.499829778	6.524266257	2.0267E-07	1.86915E-07
17/11/2011 20:07	17/11/2011 20:11	3.209339475	6.335785615	2.35628E-07	4.22197E-07
17/11/2011 20:11	17/11/2011 20:16	4.057403581	6.104548867	1.15138E-07	9.49324E-08
17/11/2011 20:16	17/11/2011 20:21	3.871707499	5.960296711	1.84253E-07	1.70969E-07
17/11/2011 20:21	17/11/2011 20:25	3.214191648	5.333238708	3.96454E-07	0.074959833
17/11/2011 20:25	17/11/2011 20:30	3.203206537	5.074241453	0.082954412	0.120271157
17/11/2011 20:30	17/11/2011 20:35	2.698681643	5.141633864	1.56185E-06	2.70916E-06
17/11/2011 20:35	17/11/2011 20:39	3.016410387	4.480576645	4.06438E-05	0.264725594
17/11/2011 20:39	17/11/2011 20:44	2.836996543	4.099025466	2.82508E-07	0.185238791
17/11/2011 20:44	17/11/2011 20:49	2.887850007	3.894480376	0.031488229	0.343332048
17/11/2011 20:49	17/11/2011 20:53	2.970505879	3.697533268	0.051408009	0.379491494
17/11/2011 20:53	17/11/2011 20:58	3.178019633	3.676206066	5.1319E-07	0.337104199
17/11/2011 20:58	17/11/2011 21:03	3.045918694	3.385828632	0.13407876	0.483167768
17/11/2011 21:03	17/11/2011 21:07	2.959292196	4.066301914	0.067638465	0.276196914
17/11/2011 21:07	17/11/2011 21:12	3.282189433	3.926271287	0.019989648	0.453174393
17/11/2011 21:12	17/11/2011 21:17	3.122326564	4.439414943	4.66003E-07	0.138674463
17/11/2011 21:17	17/11/2011 21:21	2.871700542	4.566371487	0.123336918	0.229139392
17/11/2011 21:21	17/11/2011 21:26	2.951906084	4.610543227	0.164285166	0.204872903
17/11/2011 21:26	17/11/2011 21:31	2.658198641	4.395000055	0.151224368	0.113340865
17/11/2011 21:31	17/11/2011 21:35	3.083512858	4.435425885	0.14201822	0.264042027
17/11/2011 21:35	17/11/2011 21:40	3.250878979	5.154893454	1.37189E-06	0.182997398
17/11/2011 21:40	17/11/2011 21:45	3.662956218	5.974359291	3.20212E-07	0.033341712
17/11/2011 21:45	17/11/2011 21:49	3.758841216	5.982359168	2.32919E-07	0.080667291
17/11/2011 21:49	17/11/2011 21:54	3.40962391	5.935858808	7.76724E-07	0.237146661
17/11/2011 21:54	17/11/2011 21:59	3.324126612	5.631985635	3.08575E-07	0.347625357
17/11/2011 21:59	17/11/2011 22:03	3.103551303	5.977529539	7.56633E-07	0.164802628
17/11/2011 22:03	17/11/2011 22:08	3.321909921	5.621469721	3.51748E-06	0.379187697
17/11/2011 22:08	17/11/2011 22:13	2.913860361	5.773647736	6.53157E-07	0.084788014
17/11/2011 22:13	17/11/2011 22:17	3.151072943	5.381652625	0.12795016	0.205012502
17/11/2011 22:17	17/11/2011 22:22	3.234355684	5.483788724	0.097959447	0.161361375
17/11/2011 22:22	17/11/2011 22:27	3.053671816	5.878641396	0.019169151	0.184468137
17/11/2011 22:27	17/11/2011 22:31	3.240642815	5.85398061	0.074363882	0.283220473
17/11/2011 22:31	17/11/2011 22:36	3.321592777	6.042854442	0.110273114	0.208673937
