PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq
74.0687	0.000013987	1.49037E-05	1.15063E-05	1.47278E-05
74.0732	5.66374E-05	1.45808E-05	6.47957E-05	5.80354E-11
75.019	4.87021E-05	0.000111625	0.000106712	7.57785E-05
75.0235	0.000831782	0.001999492	0.00175346	0.00130653
75.0446	0.000143502	0.000376799	0.000306652	0.00036023
75.0765	2.94275E-06	9.54105E-07	3.38197E-06	5.44479E-08
76.0268	5.47096E-05	0.000130002	0.000113308	8.48145E-05
76.0313	0.00102022	0.002663801	0.00210711	0.0017426
77.0027	3.39251E-05	0.000230315	0.000401933	0.000282935
77.0347	6.66506E-05	0.000173499	0.000136452	0.00011295
77.0391	0.00761303	0.010618113	0.0059146	0.00604151
78.0061	2.55778E-06	1.31302E-05	2.23069E-05	1.41779E-05
78.0106	7.73597E-05	0.00024304	0.000322498	0.000230915
78.0425	0.000491191	0.00069158	0.000384443	0.000389274
78.047	0.00256902	0.004544428	0.00201786	0.00142763
78.9854	6.63411E-06	7.01679E-05	0.000369514	0.000780916
79.0139	4.59657E-06	1.31102E-05	1.88381E-05	0.000011586
79.0184	7.81879E-05	0.000797488	0.000689429	0.000500362
79.0503	0.000167509	0.00029547	0.000130541	9.15559E-05
79.0548	0.0146095	0.00931072	0.00532776	0.00689483
80.0217	2.27168E-06	4.43892E-05	3.84431E-05	2.65099E-05
80.0262	0.000263545	0.001654102	0.000983189	0.000370778
80.0581	0.000948701	0.000606216	0.000351446	0.000437892
80.0626	0.00329237	0.00224129	0.00121341	0.0013199
81.0296	1.23156E-05	9.04869E-05	5.31139E-05	0.000020799
81.034	0.000739853	0.004168821	0.00249291	0.00253565
81.066	0.00021389	0.000146034	7.87276E-05	8.52118E-05
81.0704	0.0284177	0.006800169	0.00423354	0.00689481
82.0055	7.21723E-06	0.00041901	0.00108953	0.000942675
82.0374	0.000038291	0.000226512	0.000134947	0.000136878
82.0419	0.000677992	0.002664119	0.00185036	0.00197245
82.0738	0.00192006	0.000408512	0.000274658	0.000459615
82.0782	0.00560818	0.002084242	0.0010341	0.00131458
83.0133	2.44103E-10	0.000744934	0.00168125	0.00167676
83.0452	3.69172E-05	0.000143985	0.000101224	0.00010632
83.0497	0.00110913	0.00267133	0.00269946	0.00400561
83.0816	0.000363801	0.000135592	6.73483E-05	0.000084986
83.0861	0.0264965	0.004222606	0.00235988	0.00371472
84.0211	0.000251417	0.001436082	0.0016607	0.00179319
84.053	5.91274E-05	0.000145324	0.000145243	0.000218335
84.0575	0.000469088	0.001584166	0.00109344	0.00119069
84.0894	0.00176561	0.000253209	0.00015111	0.00025198
84.0939	0.0020447	0.000734436	0.000425908	0.000249777
85.0078	0.000091068	5.12497E-05	1.33654E-10	3.35352E-06
85.029	0.000654671	0.002617477	0.00392036	0.00433915
85.0609	2.66758E-05	8.55704E-05	5.94905E-05	0.000064013
85.0653	0.000667707	0.000943325	0.00122678	0.00144363
85.0973	0.000131232	4.8788E-05	0.000027317	1.60624E-05
85.1017	0.0182137	0.001664249	0.00135692	0.00126455
86.0112	8.80993E-06	4.42613E-06	1.92697E-06	1.64433E-06
86.0156	0.000379779	0.000659687	0.00117371	0.000492044
86.0368	0.00023197	0.000405721	5.28972E-11	0.000595552
86.048	1.6727E-09	0.000231962	0.00189363	0.000344687
86.0687	3.58624E-05	5.26855E-05	0.000066163	7.74897E-05
86.0732	0.000158077	0.000287582	0.0011089	0.000333849
86.1051	0.00118685	0.000105133	8.98127E-05	8.14922E-05
86.1096	6.12772E-05	0.000128098	4.61647E-05	6.68106E-05
87.0082	2.35614E-05	7.99319E-05	0.000661838	0.000609478
87.019	2.98863E-05	5.00251E-05	0.000088808	3.73643E-05
87.0235	0.000545128	0.000823681	0.000580115	0.000517605
87.0446	0.000623317	0.001650397	0.00127368	0.00172664
87.0684	4.24379E-07	0.000283762	0.00250036	0.000505691
87.0765	9.46013E-06	1.50264E-05	6.31866E-05	1.74353E-05
87.1129	5.70441E-06	8.56966E-06	4.50971E-06	4.86646E-06
88.0268	4.18587E-05	6.28569E-05	4.24399E-05	3.99174E-05
88.0313	0.000403225	0.000991024	0.000766337	0.0005665
88.0524	9.20503E-05	0.000217179	0.000284635	0.000213074
88.0888	7.31142E-05	9.14809E-05	0.000121135	2.62061E-05
89.0347	3.10952E-05	7.53691E-05	5.79647E-05	4.26705E-05
