PMF_m/z	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
174.032	6.13159E-06	0.000122147	0	6.18603E-05	0.000067327
174.053	7.55491E-06	7.98314E-06	2.47206E-06	8.08368E-07	0
174.068	2.07175E-06	3.87584E-06	0	1.08606E-06	2.73535E-06
174.089	6.40614E-06	4.5504E-06	1.10134E-06	1.60918E-06	1.20303E-07
174.105	1.18123E-05	2.96896E-05	0	3.62726E-07	1.46371E-05
174.141	0.000105197	8.03114E-05	5.9079E-06	0	1.25221E-05
175.04	3.19365E-05	0.000308733	4.61699E-06	0	0.000153883
175.076	2.01847E-05	0.000217323	0	0	6.24641E-05
175.149	0.00038643	0.000193248	5.65594E-05	0	0.000053402
175.975	3.99482E-06	0	6.85179E-06	7.3073E-06	0
176.047	0	0.000181839	0	5.84417E-15	3.56054E-05
176.063	1.34572E-05	1.43901E-06	3.62627E-07	4.62993E-06	0
176.156	0.000110956	0.000089685	3.04044E-05	2.47035E-06	2.36559E-05
177.019	0	2.88409E-05	2.99972E-05	6.09988E-05	2.82774E-05
177.055	0	0.000404838	0	0	7.51393E-05
177.07	1.81407E-06	0	4.19144E-07	1.85534E-06	0
177.092	0.000168541	0.000440017	0.000125217	0.000045864	0.000166545
177.991	0.000010793	0	0.000012095	7.76503E-06	0
178.027	0	4.86415E-05	0	2.44654E-05	5.36278E-05
178.078	0.000646244	0.000818728	0.000184291	0.000124938	4.74014E-05
179.034	0	0.000187124	0	8.00118E-05	4.82185E-05
179.086	0.00058061	0.000782858	0.000217034	0.000153047	0.000085889
180.094	0.00030117	0.000583781	0.000121145	9.49479E-05	4.74169E-05
181.087	9.69005E-05	0.00113654	0.000125293	0.000195984	4.42331E-05
185.097	0.000157687	0.000608098	0.000141317	9.79555E-05	7.82801E-05
187.055	0.000150626	0.000617699	0.000109869	9.71365E-05	6.80544E-05
187.149	0.000333534	0.000288156	9.76196E-05	2.18612E-05	2.99857E-05
188.063	0.000102402	0.000504377	7.61488E-05	8.68049E-05	0.000047953
189.019	0	2.16638E-06	2.56789E-06	1.14285E-05	0
189.07	0.000530529	0.000861455	0.000165891	0.000116718	3.58191E-05
189.164	0.000295226	0.000211932	8.19627E-05	1.77951E-05	2.08788E-05
190.009	0	6.98722E-05	0	4.08833E-05	1.43063E-05
190.078	0.000247251	0.00056363	8.52064E-05	7.08557E-05	4.95769E-05
190.172	8.03524E-05	7.71042E-05	2.50406E-05	0	1.52814E-05
190.999	6.96057E-07	0	6.73407E-07	2.94567E-07	0
191.002	8.09003E-05	6.47397E-05	8.93641E-05	0.000121403	0
191.086	0.000417734	0.000681104	0.00015058	0.000120173	5.71513E-05
191.973	8.29757E-07	0	7.43639E-07	2.70255E-07	0
192	1.80314E-05	4.40597E-05	0.000022974	3.69384E-05	2.14856E-05
192.079	7.41054E-05	0.000447249	1.77923E-05	6.93906E-05	3.20715E-05
192.115	6.74094E-05	0.000139143	8.49141E-06	0	0.000032818
194.073	2.28196E-05	0.000391598	3.43722E-05	7.90062E-05	2.66881E-05
194.094	1.86293E-06	8.9569E-07	2.63096E-07	1.72915E-07	0
194.109	0.000118228	0.000212027	8.54606E-06	0	1.13167E-05
195.081	2.40224E-05	0.000549071	4.12699E-05	0.000107882	3.17302E-05
195.102	1.6782E-06	0	5.94403E-07	4.78251E-08	0
195.117	0.000244994	0.000240301	4.14659E-05	0	3.59708E-05
196.089	6.23501E-05	0.00046607	0.000047664	5.81414E-05	2.11926E-05
196.125	7.43311E-05	2.23258E-05	5.30891E-06	0	6.51843E-06
196.219	2.37688E-05	9.79614E-06	3.32088E-06	2.29684E-06	0
197.097	0	0.000633629	5.48311E-05	8.64637E-05	3.57484E-05
198.105	9.54592E-05	0.0004326	4.26874E-05	4.52391E-05	2.85998E-05
198.141	1.39865E-05	0	2.00211E-06	0	0
199.055	4.01937E-05	0.00033974	0.0000365	7.25043E-05	2.29664E-05
199.112	0.000225683	0.000366162	8.34782E-05	2.62565E-05	3.58433E-05
200.063	0.000130675	0.000399167	4.51122E-05	5.43225E-05	1.72281E-05
200.12	0.000024639	0.00019107	1.36803E-05	0	2.04203E-05
202.078	0.000458369	0.000607835	0.000096545	7.50735E-05	6.56376E-06
202.136	0.000016597	0.000071365	4.12959E-06	0	6.89008E-06
202.172	1.45391E-05	9.33247E-06	0	2.90047E-06	2.58382E-06
204	0	7.29897E-05	7.80608E-06	2.71954E-05	1.83827E-05
204.094	0.000176417	0.0003998	5.94617E-05	4.49222E-05	1.65595E-05
204.188	4.20852E-05	3.61156E-05	5.81024E-06	0	6.25986E-06
